x1,x2,y_oakface,y_clybrkcm,y_distd_wn,y_oakface,y_oakface,y_sndpgaz1
3.58929,2786.06,0.966072,0.540892,,0.971239,,0.720942
3.59427,2782.21,0.967565,0.540826,,0.970062,,0.720812
3.59926,2778.35,0.966928,0.53968,,0.97112,,0.715027
3.60427,2774.49,0.966139,0.540124,,0.97105,,0.719699
3.60929,2770.63,0.967473,0.542424,,0.970254,,0.718726
3.61432,2766.77,0.968037,0.538793,,0.969793,,0.712252
3.61937,2762.91,0.968175,0.531234,,0.969712,,0.710486
3.62443,2759.05,0.969445,0.529994,,0.969914,,0.707488
3.62951,2755.19,0.966555,0.532403,,0.969599,,0.706665
3.6346,2751.33,0.966032,0.5287,,0.968712,,0.709645
3.6397,2747.48,0.968412,0.527133,,0.969534,,0.70351
3.64482,2743.62,0.968755,0.529249,,0.969483,,0.702141
3.64995,2739.76,0.970371,0.530453,,0.9693,,0.703504
3.6551,2735.9,0.964762,0.534466,,0.969541,,0.705699
3.66027,2732.04,0.965892,0.531653,0.974703,0.969977,0.973462,0.710034
3.66544,2728.18,0.965664,0.525966,0.974765,0.968599,0.974855,0.703811
3.67063,2724.32,0.968696,0.527477,0.974827,0.96931,0.975169,0.709377
3.67584,2720.46,0.968435,0.521157,0.97489,0.968906,0.974131,0.712296
3.68106,2716.61,0.968742,0.522885,0.974952,0.969784,0.975639,0.712082
3.6863,2712.75,0.966988,0.518449,0.975016,0.969261,0.972621,0.711865
3.69155,2708.89,0.966608,0.52169,0.975079,0.968458,0.973456,0.714373
3.69682,2705.03,0.966291,0.519798,0.975142,0.968762,0.973051,0.716015
3.7021,2701.17,0.968713,0.519686,0.975204,0.968923,0.97368,0.720406
3.70739,2697.31,0.966932,0.514449,0.975265,0.969553,0.972855,0.721435
3.7127,2693.45,0.966011,0.517053,0.975326,0.969181,0.972774,0.727778
3.71803,2689.59,0.969604,0.517875,0.975387,0.969215,0.971533,0.733856
3.72337,2685.73,0.969265,0.518086,0.97545,0.968534,0.974574,0.728859
3.72873,2681.88,0.966165,0.521127,0.975515,0.967863,0.97245,0.734673
3.7341,2678.02,0.967743,0.520017,0.975579,0.967902,0.972386,0.739165
3.73949,2674.16,0.966809,0.520647,0.975643,0.967668,0.971772,0.736254
3.7449,2670.3,0.968802,0.520699,0.975703,0.967595,0.973089,0.739962
