x1,x2,y_clybrkcm
10.1229,987.857,0.935948
10.0835,991.716,0.935901
10.0444,995.575,0.936058
10.0057,999.434,0.936036
9.96718,1003.29,0.933884
9.92899,1007.15,0.93289
9.8911,1011.01,0.931071
9.85349,1014.87,0.929399
9.81616,1018.73,0.929244
9.77912,1022.59,0.927557
9.74236,1026.44,0.929184
9.70587,1030.3,0.925652
9.66965,1034.16,0.925236
9.63371,1038.02,0.923979
9.59803,1041.88,0.923442
9.56261,1045.74,0.923025
9.52745,1049.6,0.921357
9.49255,1053.46,0.917649
9.45791,1057.32,0.915342
9.42352,1061.17,0.910958
9.38937,1065.03,0.908102
9.35548,1068.89,0.905105
9.32182,1072.75,0.901548
9.28841,1076.61,0.90027
9.25524,1080.47,0.897182
9.2223,1084.33,0.897023
9.1896,1088.19,0.895487
9.15713,1092.04,0.894383
9.12488,1095.9,0.898463
9.09287,1099.76,0.898819
9.06107,1103.62,0.900336
9.0295,1107.48,0.906497
8.99815,1111.34,0.909158
8.96701,1115.2,0.912603
8.93609,1119.06,0.915384
8.90538,1122.91,0.916549
8.87489,1126.77,0.921705
8.8446,1130.63,0.92499
8.81451,1134.49,0.927388
8.78463,1138.35,0.93065
8.75496,1142.21,0.932123
8.72548,1146.07,0.934146
8.6962,1149.93,0.936745
8.66711,1153.79,0.940095
8.63822,1157.64,0.941051
8.60952,1161.5,0.944155
8.58102,1165.36,0.943196
8.5527,1169.22,0.943887
8.52456,1173.08,0.9441
8.49661,1176.94,0.945054
8.46885,1180.8,0.945722
8.44126,1184.66,0.949351
8.41385,1188.51,0.949229
8.38662,1192.37,0.952222
8.35957,1196.23,0.950257
8.33269,1200.09,0.95213
8.30598,1203.95,0.954655
8.27945,1207.81,0.954831
8.25308,1211.67,0.956874
8.22688,1215.53,0.958908
8.20084,1219.39,0.960865
8.17497,1223.24,0.964338
8.14927,1227.1,0.966699
8.12372,1230.96,0.970704
8.09833,1234.82,0.970864
8.07311,1238.68,0.9732
8.04803,1242.54,0.977862
8.02312,1246.4,0.978433
7.99835,1250.26,0.982227
7.97374,1254.11,0.98191
7.94929,1257.97,0.983918
7.92498,1261.83,0.984292
7.90081,1265.69,0.984796
7.8768,1269.55,0.984781
7.85293,1273.41,0.984707
7.82921,1277.27,0.983004
7.80562,1281.13,0.984421
7.78218,1284.99,0.982413
7.75888,1288.84,0.982847
7.73572,1292.7,0.982765
7.7127,1296.56,0.981636
7.68981,1300.42,0.982277
7.66706,1304.28,0.980911
7.64445,1308.14,0.980371
7.62196,1312.0,0.978752
7.59961,1315.86,0.978041
7.57739,1319.71,0.977913
7.5553,1323.57,0.975605
7.53333,1327.43,0.97498
7.5115,1331.29,0.975996
7.48979,1335.15,0.976974
7.4682,1339.01,0.974759
7.44674,1342.87,0.972837
7.42541,1346.73,0.972135
7.40419,1350.59,0.972178
7.3831,1354.44,0.97109
7.36212,1358.3,0.972067
7.34127,1362.16,0.971409
7.32053,1366.02,0.970771
7.29991,1369.88,0.970792
7.2794,1373.74,0.969796
7.25901,1377.6,0.967132
7.23873,1381.46,0.966905
7.21857,1385.31,0.964666
7.19852,1389.17,0.964371
7.17858,1393.03,0.963285
7.15875,1396.89,0.962418
7.13903,1400.75,0.961164
7.11941,1404.61,0.960502
7.09991,1408.47,0.960451
7.08051,1412.33,0.962078
7.06122,1416.19,0.962915
7.04203,1420.04,0.960383
7.02295,1423.9,0.960601
7.00396,1427.76,0.958784
6.98509,1431.62,0.958384
6.96631,1435.48,0.958996
6.94763,1439.34,0.954452
6.92906,1443.2,0.956283
6.91058,1447.06,0.955576
6.8922,1450.91,0.955545
6.87392,1454.77,0.952231
6.85573,1458.63,0.95134
6.83764,1462.49,0.950895
6.81965,1466.35,0.94646
6.80175,1470.21,0.948973
6.78394,1474.07,0.945506
6.76623,1477.93,0.94663
6.74861,1481.79,0.944936
6.73108,1485.64,0.943851
6.71364,1489.5,0.943561
6.6963,1493.36,0.945038
6.67904,1497.22,0.940927
6.66187,1501.08,0.93931
6.64479,1504.94,0.932628
6.62779,1508.8,0.930796
6.61088,1512.66,0.935578
6.59406,1516.51,0.928418
6.57733,1520.37,0.922755
6.56068,1524.23,0.92587
6.54411,1528.09,0.92804
6.52762,1531.95,0.927208
6.51122,1535.81,0.923613
6.4949,1539.67,0.916202
6.47867,1543.53,0.9134
6.46251,1547.38,0.920428
6.44644,1551.24,0.92402
6.43044,1555.1,0.9239
6.41452,1558.96,0.921466
6.39868,1562.82,0.923824
6.38292,1566.68,0.927929
6.36724,1570.54,0.925518
6.35163,1574.4,0.928918
6.3361,1578.26,0.92973
6.32065,1582.11,0.933989
6.30527,1585.97,0.933949
6.28997,1589.83,0.937274
6.27474,1593.69,0.937099
6.25958,1597.55,0.936078
6.2445,1601.41,0.938557
6.22949,1605.27,0.937873
6.21455,1609.13,0.938709
6.19968,1612.98,0.939982
6.18489,1616.84,0.934863
6.17016,1620.7,0.934327
6.1555,1624.56,0.932798
6.14092,1628.42,0.932368
6.1264,1632.28,0.928895
6.11195,1636.14,0.925729
6.09757,1640.0,0.929325
6.08326,1643.86,0.928014
6.06901,1647.71,0.926654
6.05483,1651.57,0.921532
6.04072,1655.43,0.920622
6.02667,1659.29,0.923878
6.01268,1663.15,0.920357
5.99877,1667.01,0.921651
5.98491,1670.87,0.914923
5.97112,1674.73,0.916856
5.9574,1678.58,0.914006
5.94373,1682.44,0.910715
5.93013,1686.3,0.914738
5.91659,1690.16,0.908648
5.90311,1694.02,0.907924
5.8897,1697.88,0.904988
5.87634,1701.74,0.905164
