,x1,x2,y_oakface,y_clybrkcm,y_distd_wn,x2,y_sndpgaz1
444,4.16635,2400.18,0.958789,0.550892,0.978519,2400.18,0.812513
443,4.17306,2396.32,0.957581,0.546539,0.978546,2396.32,0.811094
442,4.17979,2392.46,0.961336,0.545024,0.978573,2392.46,0.808808
441,4.18654,2388.61,0.961834,0.548148,0.978604,2388.61,0.813588
440,4.19331,2384.75,0.964325,0.544867,0.978634,2384.75,0.811864
439,4.20011,2380.89,0.963446,0.539441,0.978664,2380.89,0.813713
438,4.20693,2377.03,0.962072,0.536875,0.978691,2377.03,0.811537
437,4.21377,2373.17,0.957386,0.53609,0.978719,2373.17,0.804218
436,4.22063,2369.31,0.961406,0.530221,0.978747,2369.31,0.803242
435,4.22752,2365.45,0.959557,0.517841,0.978778,2365.45,0.802461
434,4.23443,2361.59,0.960743,0.518356,0.978809,2361.59,0.797811
433,4.24136,2357.74,0.959405,0.51652,0.978839,2357.74,0.799344
432,4.24831,2353.88,0.958791,0.523395,0.978867,2353.88,0.805541
431,4.25528,2350.02,0.961689,0.531936,0.978895,2350.02,0.804544
430,4.26228,2346.16,0.962232,0.523067,0.978923,2346.16,0.806743
429,4.2693,2342.3,0.957686,0.517381,0.978951,2342.3,0.803586
428,4.27635,2338.44,0.969824,0.529088,0.978979,2338.44,0.812747
427,4.28342,2334.58,0.962535,0.5225,0.97901,2334.58,0.813828
426,4.29051,2330.72,0.960375,0.527827,0.979041,2330.72,0.805486
425,4.29763,2326.86,0.959094,0.533223,0.979073,2326.86,0.805205
424,4.30476,2323.01,0.957973,0.554239,0.979103,2323.01,0.815138
423,4.31193,2319.15,0.956309,0.556358,0.979132,2319.15,0.822061
422,4.31911,2315.29,0.959663,0.572301,0.979161,2315.29,0.825485
421,4.32632,2311.43,0.956363,0.577546,0.979197,2311.43,0.830751
420,4.33356,2307.57,0.9595,0.584427,0.979233,2307.57,0.831421
419,4.34082,2303.71,0.957776,0.593035,0.979268,2303.71,0.839621
418,4.3481,2299.85,0.960354,0.603983,0.979301,2299.85,0.841389
417,4.35541,2295.99,0.958082,0.613082,0.979333,2295.99,0.848807
416,4.36274,2292.14,0.96,0.618175,0.979365,2292.14,0.855723
415,4.3701,2288.28,0.959561,0.622568,0.979394,2288.28,0.859879
414,4.37748,2284.42,0.958461,0.628382,0.979424,2284.42,0.869452
413,4.38489,2280.56,0.958561,0.635622,0.979448,2280.56,0.87515
412,4.39232,2276.7,0.960742,0.639417,0.97947,2276.7,0.881183
411,4.39978,2272.84,0.960195,0.642761,0.979492,2272.84,0.887806
410,4.40726,2268.98,0.961191,0.65084,0.979511,2268.98,0.894188
409,4.41477,2265.12,0.959795,0.653254,0.979529,2265.12,0.898429
408,4.4223,2261.26,0.959294,0.660413,0.979547,2261.26,0.903995
407,4.42986,2257.41,0.961677,0.662666,0.979562,2257.41,0.911043
406,4.43745,2253.55,0.960112,0.668048,0.979577,2253.55,0.914377
405,4.44506,2249.69,0.962757,0.67016,0.979592,2249.69,0.914354
404,4.45269,2245.83,0.96099,0.675806,0.979607,2245.83,0.91879
403,4.46036,2241.97,0.96063,0.678896,0.979622,2241.97,0.922323
402,4.46805,2238.11,0.960361,0.67727,0.979633,2238.11,0.924478
401,4.47577,2234.25,0.959337,0.68112,0.979645,2234.25,0.925022
400,4.48351,2230.39,0.960415,0.683701,0.979659,2230.39,0.925311
399,4.49128,2226.54,0.961325,0.684448,0.979675,2226.54,0.9243
398,4.49908,2222.68,0.962606,0.682008,0.97969,2222.68,0.921086
397,4.5069,2218.82,0.961736,0.681744,0.97971,2218.82,0.915331
396,4.51475,2214.96,0.961,0.682751,0.979729,2214.96,0.910608
395,4.52263,2211.1,0.961516,0.677802,0.979749,2211.1,0.901415
394,4.53054,2207.24,0.962109,0.67854,0.979769,2207.24,0.893967
393,4.53847,2203.38,0.962096,0.676364,0.979789,2203.38,0.888914
392,4.54644,2199.52,0.961986,0.680463,0.979809,2199.52,0.8794
391,4.55443,2195.67,0.961546,0.683719,0.979828,2195.67,0.875083
390,4.56244,2191.81,0.961518,0.681835,0.979847,2191.81,0.868916
389,4.57049,2187.95,0.962815,0.685644,0.979863,2187.95,0.864728
388,4.57857,2184.09,0.962568,0.690972,0.979879,2184.09,0.862958
387,4.58667,2180.23,0.96397,0.689169,0.979884,2180.23,0.862654
386,4.5948,2176.37,0.961775,0.692344,0.979888,2176.37,0.863423
385,4.60296,2172.51,0.964431,0.69314,0.97989,2172.51,0.866383
384,4.61115,2168.65,0.963637,0.694877,0.97989,2168.65,0.869251
383,4.61937,2164.79,0.963061,0.70152,0.97989,2164.79,0.87278
382,4.62762,2160.94,0.962615,0.705722,0.97989,2160.94,0.880611
381,4.6359,2157.08,0.96491,0.706984,0.97989,2157.08,0.886264
380,4.64421,2153.22,0.965336,0.711508,0.97989,2153.22,0.893229
379,4.65255,2149.36,0.964229,0.713256,0.97989,2149.36,0.900047
378,4.66091,2145.5,0.965125,0.714352,0.97989,2145.5,0.903818
377,4.66931,2141.64,0.964866,0.719225,0.97989,2141.64,0.908938
376,4.67774,2137.78,0.963943,0.725762,0.97989,2137.78,0.913868
375,4.6862,2133.92,0.964659,0.727004,0.97989,2133.92,0.917821
374,4.69469,2130.07,0.964793,0.730008,0.97989,2130.07,0.919962
373,4.70321,2126.21,0.964787,0.730533,0.97989,2126.21,0.916
372,4.71176,2122.35,0.965595,0.731224,0.97989,2122.35,0.913408
371,4.72034,2118.49,0.963802,0.73262,0.97989,2118.49,0.911434
370,4.72896,2114.63,0.963771,0.734052,0.97989,2114.63,0.907086
369,4.7376,2110.77,0.965056,0.735544,0.97989,2110.77,0.908676
368,4.74628,2106.91,0.96505,0.737877,0.97989,2106.91,0.90964
