x1,x2,y_sndpgaz1
4.20011,2380.89,0.813713
4.19331,2384.75,0.811864
4.18654,2388.61,0.813588
4.17978,2392.47,0.808808
4.17305,2396.32,0.811094
4.16635,2400.18,0.812513
4.15966,2404.04,0.806033
4.15299,2407.9,0.805451
4.14635,2411.76,0.805073
4.13972,2415.62,0.800921
4.13312,2419.48,0.794863
4.12654,2423.34,0.78862
4.11998,2427.2,0.786694
4.11344,2431.05,0.784528
4.10692,2434.91,0.777808
4.10042,2438.77,0.774771
4.09394,2442.63,0.76858
4.08749,2446.49,0.7689
4.08105,2450.35,0.765368
4.07463,2454.21,0.759101
4.06824,2458.07,0.760829
4.06186,2461.92,0.763998
4.0555,2465.78,0.761714
4.04917,2469.64,0.763588
4.04285,2473.5,0.769345
4.03655,2477.36,0.766336
4.03027,2481.22,0.763773
4.02402,2485.08,0.764331
4.01778,2488.94,0.768095
4.01156,2492.8,0.767733
4.00536,2496.65,0.765635
3.99918,2500.51,0.769072
3.99301,2504.37,0.770316
3.98687,2508.23,0.771152
3.98075,2512.09,0.765651
3.97464,2515.95,0.757232
3.96856,2519.81,0.762734
3.96249,2523.67,0.759346
3.95644,2527.52,0.755592
3.95041,2531.38,0.750567
3.94439,2535.24,0.7483
3.9384,2539.1,0.744445
3.93242,2542.96,0.74112
3.92646,2546.82,0.736958
3.92052,2550.68,0.737742
3.9146,2554.54,0.734828
3.9087,2558.4,0.732326
3.90281,2562.25,0.735553
3.89694,2566.11,0.733742
3.89109,2569.97,0.735435
3.88526,2573.83,0.739441
3.87944,2577.69,0.740887
3.87364,2581.55,0.742518
3.86786,2585.41,0.741444
3.8621,2589.27,0.74675
3.85635,2593.12,0.7481
3.85062,2596.98,0.744075
3.84491,2600.84,0.73977
3.83921,2604.7,0.739195
3.83353,2608.56,0.734663
3.82787,2612.42,0.738817
3.82222,2616.28,0.730674
3.81659,2620.14,0.733377
3.81098,2624.0,0.731481
3.80538,2627.85,0.725284
3.7998,2631.71,0.725781
3.79424,2635.57,0.728509
3.78869,2639.43,0.725563
3.78316,2643.29,0.730117
3.77765,2647.15,0.73237
3.77215,2651.01,0.7362
3.76667,2654.87,0.734543
3.7612,2658.72,0.742415
3.75575,2662.58,0.74235
3.75031,2666.44,0.741202
3.74489,2670.3,0.739962
3.73949,2674.16,0.736254
3.7341,2678.02,0.739165
3.72873,2681.88,0.734673
3.72337,2685.74,0.728859
3.71803,2689.59,0.733856
3.7127,2693.45,0.727778
3.70739,2697.31,0.721435
3.7021,2701.17,0.720406
3.69681,2705.03,0.716015
3.69155,2708.89,0.714373
3.6863,2712.75,0.711865
3.68106,2716.61,0.712082
3.67584,2720.47,0.712296
3.67063,2724.32,0.709377
3.66544,2728.18,0.703811
3.66026,2732.04,0.710034
3.6551,2735.9,0.705699
3.64995,2739.76,0.703504
3.64482,2743.62,0.702141
3.6397,2747.48,0.70351
3.6346,2751.34,0.709645
3.6295,2755.19,0.706665
3.62443,2759.05,0.707488
3.61937,2762.91,0.710486
3.61432,2766.77,0.712252
3.60928,2770.63,0.718726
3.60427,2774.49,0.719699
3.59926,2778.35,0.715027
3.59427,2782.21,0.720812
3.58929,2786.07,0.720942
3.58432,2789.92,0.723602
3.57937,2793.78,0.727536
3.57444,2797.64,0.726136
3.56951,2801.5,0.719109
3.5646,2805.36,0.722114
3.55971,2809.22,0.723236
3.55482,2813.08,0.72819
3.54995,2816.94,0.724261
3.5451,2820.79,0.728097
3.54025,2824.65,0.727364
3.53543,2828.51,0.730993
3.53061,2832.37,0.739103
3.5258,2836.23,0.740284
3.52101,2840.09,0.742146
3.51624,2843.95,0.755879
3.51147,2847.81,0.755152
3.50672,2851.67,0.76203
3.50198,2855.52,0.766853
3.49726,2859.38,0.767423
3.49254,2863.24,0.766957
3.48784,2867.1,0.764099
3.48315,2870.96,0.769852
3.47848,2874.82,0.772708
3.47382,2878.68,0.782372
3.46917,2882.54,0.779839
3.46453,2886.39,0.783458
3.4599,2890.25,0.785643
3.45529,2894.11,0.782751
3.45069,2897.97,0.786373
3.4461,2901.83,0.790939
3.44152,2905.69,0.794323
3.43696,2909.55,0.804021
3.43241,2913.41,0.813306
3.42787,2917.27,0.810631
3.42334,2921.12,0.814606
3.41882,2924.98,0.817195
3.41432,2928.84,0.816339
3.40982,2932.7,0.821615
3.40534,2936.56,0.812176
3.40087,2940.42,0.819402
3.39642,2944.28,0.817454
3.39197,2948.14,0.815365
3.38754,2951.99,0.82218
3.38312,2955.85,0.825449
3.3787,2959.71,0.83242
3.37431,2963.57,0.836226
3.36992,2967.43,0.836486
3.36554,2971.29,0.832018
3.36118,2975.15,0.840366
3.35682,2979.01,0.839593
3.35248,2982.87,0.837362
3.34815,2986.72,0.840304
3.34383,2990.58,0.845934
3.33952,2994.44,0.840267
3.33522,2998.3,0.840829
